30.12.2024 10:06:03 +05 | CPU load: 7
30.12.2024 10:06:08 +05 | CPU load: 6
30.12.2024 10:06:13 +05 | CPU load: 6
30.12.2024 10:06:18 +05 | CPU load: 6
30.12.2024 10:06:23 +05 | CPU load: 6
30.12.2024 10:06:28 +05 | CPU load: 6
30.12.2024 10:06:33 +05 | CPU load: 7
30.12.2024 10:06:38 +05 | CPU load: 7
30.12.2024 10:06:43 +05 | CPU load: 8
30.12.2024 10:06:48 +05 | CPU load: 8
30.12.2024 10:06:53 +05 | CPU load: 8
30.12.2024 10:06:58 +05 | CPU load: 9
30.12.2024 10:07:03 +05 | CPU load: 9
30.12.2024 10:07:08 +05 | CPU load: 10
30.12.2024 10:07:13 +05 | CPU load: 9
30.12.2024 10:07:18 +05 | CPU load: 9
30.12.2024 10:07:23 +05 | CPU load: 10
30.12.2024 10:07:28 +05 | CPU load: 10
30.12.2024 10:07:33 +05 | CPU load: 10
30.12.2024 10:07:39 +05 | CPU load: 10
30.12.2024 10:07:44 +05 | CPU load: 10
